DATE,RESINFLOW
"31 Dec 01, 23:00 ","3,280"
"31 Dec 01, 24:00 ","3,248"
"01 Jan 02, 01:00 ","3,232"
"01 Jan 02, 02:00 ","3,185"
"01 Jan 02, 03:00 ","3,169"
"01 Jan 02, 04:00 ","3,154"
"01 Jan 02, 05:00 ","3,138"
"01 Jan 02, 06:00 ","3,123"
"01 Jan 02, 07:00 ","3,107"
"01 Jan 02, 08:00 ","3,123"
"01 Jan 02, 09:00 ","3,154"
"01 Jan 02, 10:00 ","3,154"
"01 Jan 02, 11:00 ","3,201"
"01 Jan 02, 12:00 ","3,280"
"01 Jan 02, 13:00 ","3,360"
"01 Jan 02, 14:00 ","3,475"
"01 Jan 02, 15:00 ","3,643"
"01 Jan 02, 16:00 ","3,764"
"01 Jan 02, 17:00 ","3,960"
"01 Jan 02, 18:00 ","4,199"
"01 Jan 02, 19:00 ","4,429"
"01 Jan 02, 20:00 ","4,851"
"01 Jan 02, 21:00 ","5,432"
"01 Jan 02, 22:00 ","6,129"
"01 Jan 02, 23:00 ",
"01 Jan 02, 24:00 ",
"02 Jan 02, 01:00 ",
"02 Jan 02, 02:00 ",
"02 Jan 02, 03:00 ","11,164"
"02 Jan 02, 04:00 ","11,753"
"02 Jan 02, 05:00 ","12,517"
"02 Jan 02, 06:00 ","13,151"
"02 Jan 02, 07:00 ","14,440"
"02 Jan 02, 08:00 ","15,720"
"02 Jan 02, 09:00 ","17,362"
"02 Jan 02, 10:00 ","19,361"
"02 Jan 02, 11:00 ","21,212"
"02 Jan 02, 12:00 ","22,584"
"02 Jan 02, 13:00 ","22,972"
"02 Jan 02, 14:00 ","21,969"
"02 Jan 02, 15:00 ","20,458"
"02 Jan 02, 16:00 ","19,092"
"02 Jan 02, 17:00 ","17,753"
"02 Jan 02, 18:00 ","16,598"
"02 Jan 02, 19:00 ","15,584"
"02 Jan 02, 20:00 ","14,483"
"02 Jan 02, 21:00 ",
"02 Jan 02, 22:00 ",
"02 Jan 02, 23:00 ",
"02 Jan 02, 24:00 ","11,678"
"03 Jan 02, 01:00 ","11,201"
"03 Jan 02, 02:00 ","10,736"
"03 Jan 02, 03:00 ","10,423"
"03 Jan 02, 04:00 ","9,981"
"03 Jan 02, 05:00 ","9,551"
"03 Jan 02, 06:00 ","9,261"
"03 Jan 02, 07:00 ","8,915"
"03 Jan 02, 08:00 ","8,607"
"03 Jan 02, 09:00 ","8,307"
"03 Jan 02, 10:00 ","8,014"
"03 Jan 02, 11:00 ","7,728"
"03 Jan 02, 12:00 ","7,449"
"03 Jan 02, 13:00 ","7,203"
"03 Jan 02, 14:00 ","6,937"
"03 Jan 02, 15:00 ","6,806"
"03 Jan 02, 16:00 ","6,450"
"03 Jan 02, 17:00 ","6,350"
"03 Jan 02, 18:00 ","6,081"
"03 Jan 02, 19:00 ",
"03 Jan 02, 20:00 ",
"03 Jan 02, 21:00 ",
"03 Jan 02, 22:00 ",
"03 Jan 02, 23:00 ",
"03 Jan 02, 24:00 ","5,147"
"04 Jan 02, 01:00 ","5,018"
"04 Jan 02, 02:00 ","4,851"
"04 Jan 02, 03:00 ","4,748"
"04 Jan 02, 04:00 ","4,627"
"04 Jan 02, 05:00 ","4,507"
"04 Jan 02, 06:00 ","4,410"
"04 Jan 02, 07:00 ","4,332"
"04 Jan 02, 08:00 ","4,256"
"04 Jan 02, 09:00 ","4,162"
"04 Jan 02, 10:00 ","4,088"
"04 Jan 02, 11:00 ","3,978"
"04 Jan 02, 12:00 ","3,782"
"04 Jan 02, 13:00 ","3,729"
"04 Jan 02, 14:00 ","3,660"
"04 Jan 02, 15:00 ","3,575"
"04 Jan 02, 16:00 ","3,508"
"04 Jan 02, 17:00 ","3,475"
"04 Jan 02, 18:00 ","3,409"
"04 Jan 02, 19:00 ","3,360"
"04 Jan 02, 20:00 ","3,312"
"04 Jan 02, 21:00 ","3,248"
"04 Jan 02, 22:00 ","3,185"
"04 Jan 02, 23:00 ","3,123"
"04 Jan 02, 24:00 ","3,077"
"05 Jan 02, 01:00 ","3,016"
"05 Jan 02, 02:00 ","2,971"
"05 Jan 02, 03:00 ","2,926"
"05 Jan 02, 04:00 ","2,882"
"05 Jan 02, 05:00 ","2,853"
"05 Jan 02, 06:00 ","2,795"
"05 Jan 02, 07:00 ","2,767"
"05 Jan 02, 08:00 ","2,739"
"05 Jan 02, 09:00 ","2,710"
"05 Jan 02, 10:00 ","2,682"
"05 Jan 02, 11:00 ","2,641"
"05 Jan 02, 12:00 ","2,627"
"05 Jan 02, 13:00 ","2,600"
"05 Jan 02, 14:00 ","2,600"
"05 Jan 02, 15:00 ","2,600"
"05 Jan 02, 16:00 ","2,641"
"05 Jan 02, 17:00 ","2,668"
"05 Jan 02, 18:00 ","2,724"
"05 Jan 02, 19:00 ","2,767"
"05 Jan 02, 20:00 ","2,853"
"05 Jan 02, 21:00 ","2,926"
"05 Jan 02, 22:00 ","2,971"
"05 Jan 02, 23:00 ","2,986"
"05 Jan 02, 24:00 ","3,001"
"06 Jan 02, 01:00 ","3,016"
"06 Jan 02, 02:00 ","3,016"
"06 Jan 02, 03:00 ",
"06 Jan 02, 04:00 ","3,062"
"06 Jan 02, 05:00 ","3,107"
"06 Jan 02, 06:00 ","3,169"
"06 Jan 02, 07:00 ","3,248"
"06 Jan 02, 08:00 ","3,328"
"06 Jan 02, 09:00 ","3,425"
"06 Jan 02, 10:00 ","3,525"
"06 Jan 02, 11:00 ","3,558"
"06 Jan 02, 12:00 ","3,626"
"06 Jan 02, 13:00 ","3,712"
"06 Jan 02, 14:00 ","3,870"
"06 Jan 02, 15:00 ","3,978"
"06 Jan 02, 16:00 ","4,088"
"06 Jan 02, 17:00 ","4,181"
"06 Jan 02, 18:00 ","4,218"
"06 Jan 02, 19:00 ","4,256"
"06 Jan 02, 20:00 ","4,371"
"06 Jan 02, 21:00 ","4,390"
"06 Jan 02, 22:00 ","4,429"
"06 Jan 02, 23:00 ","4,410"
"06 Jan 02, 24:00 ","4,468"
"07 Jan 02, 01:00 ","4,468"
"07 Jan 02, 02:00 ","4,410"
"07 Jan 02, 03:00 ","4,371"
"07 Jan 02, 04:00 ","4,332"
"07 Jan 02, 05:00 ","4,294"
"07 Jan 02, 06:00 ","4,275"
"07 Jan 02, 07:00 ","4,237"
"07 Jan 02, 08:00 ","4,237"
"07 Jan 02, 09:00 ","4,143"
"07 Jan 02, 10:00 ","4,125"
"07 Jan 02, 11:00 ","4,088"
"07 Jan 02, 12:00 ","4,014"
"07 Jan 02, 13:00 ","4,014"
"07 Jan 02, 14:00 ","3,906"
"07 Jan 02, 15:00 ","3,870"
"07 Jan 02, 16:00 ","3,852"
"07 Jan 02, 17:00 ","3,782"
"07 Jan 02, 18:00 ","3,782"
"07 Jan 02, 19:00 ","3,747"
"07 Jan 02, 20:00 ","3,660"
"07 Jan 02, 21:00 ","3,643"
"07 Jan 02, 22:00 ","3,592"
"07 Jan 02, 23:00 ","3,558"
"07 Jan 02, 24:00 ","3,541"
"08 Jan 02, 01:00 ","3,508"
"08 Jan 02, 02:00 ","3,525"
"08 Jan 02, 03:00 ","3,525"
"08 Jan 02, 04:00 ","3,558"
"08 Jan 02, 05:00 ","3,592"
"08 Jan 02, 06:00 ","3,643"
"08 Jan 02, 07:00 ","3,729"
"08 Jan 02, 08:00 ","3,729"
"08 Jan 02, 09:00 ","3,782"
"08 Jan 02, 10:00 ","3,747"
"08 Jan 02, 11:00 ","3,729"
"08 Jan 02, 12:00 ","3,729"
"08 Jan 02, 13:00 ","3,643"
"08 Jan 02, 14:00 ","3,677"
"08 Jan 02, 15:00 ","3,626"
"08 Jan 02, 16:00 ","3,626"
"08 Jan 02, 17:00 ","3,575"
"08 Jan 02, 18:00 ","3,592"
"08 Jan 02, 19:00 ","3,558"
"08 Jan 02, 20:00 ","3,575"
"08 Jan 02, 21:00 ","3,541"
"08 Jan 02, 22:00 ","3,508"
"08 Jan 02, 23:00 ","3,491"
"08 Jan 02, 24:00 ","3,458"
"09 Jan 02, 01:00 ","3,442"
"09 Jan 02, 02:00 ","3,409"
"09 Jan 02, 03:00 ","3,360"
"09 Jan 02, 04:00 ","3,344"
"09 Jan 02, 05:00 ","3,312"
"09 Jan 02, 06:00 ","3,280"
"09 Jan 02, 07:00 ","3,264"
"09 Jan 02, 08:00 ","3,216"
"09 Jan 02, 09:00 ","3,185"
"09 Jan 02, 10:00 ","3,154"
"09 Jan 02, 11:00 ","3,123"
"09 Jan 02, 12:00 ","3,092"
"09 Jan 02, 13:00 ","3,062"
"09 Jan 02, 14:00 ","3,031"
"09 Jan 02, 15:00 ","3,001"
"09 Jan 02, 16:00 ","2,971"
"09 Jan 02, 17:00 ","2,956"
"09 Jan 02, 18:00 ","2,912"
"09 Jan 02, 19:00 ","2,882"
"09 Jan 02, 20:00 ","2,853"
"09 Jan 02, 21:00 ","2,824"
"09 Jan 02, 22:00 ","2,795"
"09 Jan 02, 23:00 ","2,767"
"09 Jan 02, 24:00 ","2,753"
"10 Jan 02, 01:00 ","2,724"
"10 Jan 02, 02:00 ","2,682"
"10 Jan 02, 03:00 ","2,668"
"10 Jan 02, 04:00 ","2,641"
"10 Jan 02, 05:00 ","2,613"
"10 Jan 02, 06:00 ","2,600"
"10 Jan 02, 07:00 ","2,572"
"10 Jan 02, 08:00 ","2,532"
"10 Jan 02, 09:00 ","2,518"
"10 Jan 02, 10:00 ","2,492"
"10 Jan 02, 11:00 ","2,465"
"10 Jan 02, 12:00 ","2,439"
"10 Jan 02, 13:00 ","2,413"
"10 Jan 02, 14:00 ","2,400"
"10 Jan 02, 15:00 ","2,361"
"10 Jan 02, 16:00 ","2,349"
"10 Jan 02, 17:00 ","2,336"
"10 Jan 02, 18:00 ","2,311"
"10 Jan 02, 19:00 ","2,298"
"10 Jan 02, 20:00 ","2,285"
"10 Jan 02, 21:00 ","2,273"
"10 Jan 02, 22:00 ","2,248"
"10 Jan 02, 23:00 ","2,236"
"10 Jan 02, 24:00 ","2,211"
"11 Jan 02, 01:00 ","2,199"
"11 Jan 02, 02:00 ","2,187"
"11 Jan 02, 03:00 ","2,162"
"11 Jan 02, 04:00 ","2,150"
"11 Jan 02, 05:00 ","2,138"
"11 Jan 02, 06:00 ","2,115"
"11 Jan 02, 07:00 ","2,115"
"11 Jan 02, 08:00 ","2,091"
"11 Jan 02, 09:00 ","2,079"
"11 Jan 02, 10:00 ","2,067"
"11 Jan 02, 11:00 ","2,044"
"11 Jan 02, 12:00 ","2,044"
"11 Jan 02, 13:00 ","2,032"
"11 Jan 02, 14:00 ","2,021"
"11 Jan 02, 15:00 ","1,998"
"11 Jan 02, 16:00 ","1,998"
"11 Jan 02, 17:00 ","1,986"
"11 Jan 02, 18:00 ","1,975"
"11 Jan 02, 19:00 ","1,975"
"11 Jan 02, 20:00 ","1,964"
"11 Jan 02, 21:00 ","1,952"
"11 Jan 02, 22:00 ","1,941"
"11 Jan 02, 23:00 ","1,941"
"11 Jan 02, 24:00 ","1,930"
"12 Jan 02, 01:00 ","1,919"
"12 Jan 02, 02:00 ","1,919"
"12 Jan 02, 03:00 ","1,908"
"12 Jan 02, 04:00 ","1,897"
"12 Jan 02, 05:00 ","1,885"
"12 Jan 02, 06:00 ","1,874"
"12 Jan 02, 07:00 ","1,874"
"12 Jan 02, 08:00 ","1,864"
"12 Jan 02, 09:00 ","1,853"
"12 Jan 02, 10:00 ","1,842"
"12 Jan 02, 11:00 ","1,842"
"12 Jan 02, 12:00 ","1,831"
"12 Jan 02, 13:00 ","1,820"
"12 Jan 02, 14:00 ","1,809"
"12 Jan 02, 15:00 ","1,799"
"12 Jan 02, 16:00 ","1,799"
"12 Jan 02, 17:00 ","1,788"
"12 Jan 02, 18:00 ","1,777"
"12 Jan 02, 19:00 ","1,777"
"12 Jan 02, 20:00 ","1,767"
"12 Jan 02, 21:00 ","1,767"
"12 Jan 02, 22:00 ","1,756"
"12 Jan 02, 23:00 ","1,756"
"12 Jan 02, 24:00 ","1,746"
"13 Jan 02, 01:00 ","1,735"
"13 Jan 02, 02:00 ","1,735"
