DATE,MC_WATERTEMP
"31 Dec 01, 23:00 ",47
"31 Dec 01, 24:00 ",47
"01 Jan 02, 01:00 ",47
"01 Jan 02, 02:00 ",46.9
"01 Jan 02, 03:00 ",46.9
"01 Jan 02, 04:00 ",46.8
"01 Jan 02, 05:00 ",46.8
"01 Jan 02, 06:00 ",46.8
"01 Jan 02, 07:00 ",46.7
"01 Jan 02, 08:00 ",46.7
"01 Jan 02, 09:00 ",46.7
"01 Jan 02, 10:00 ",46.7
"01 Jan 02, 11:00 ",46.7
"01 Jan 02, 12:00 ",46.8
"01 Jan 02, 13:00 ",46.8
"01 Jan 02, 14:00 ",46.9
"01 Jan 02, 15:00 ",46.9
"01 Jan 02, 16:00 ",46.9
"01 Jan 02, 17:00 ",47
"01 Jan 02, 18:00 ",47
"01 Jan 02, 19:00 ",47
"01 Jan 02, 20:00 ",47
"01 Jan 02, 21:00 ",46.9
"01 Jan 02, 22:00 ",46.9
"01 Jan 02, 23:00 ",
"01 Jan 02, 24:00 ",
"02 Jan 02, 01:00 ",
"02 Jan 02, 02:00 ",
"02 Jan 02, 03:00 ",
"02 Jan 02, 04:00 ",46.8
"02 Jan 02, 05:00 ",46.7
"02 Jan 02, 06:00 ",46.7
"02 Jan 02, 07:00 ",46.7
"02 Jan 02, 08:00 ",46.8
"02 Jan 02, 09:00 ",46.8
"02 Jan 02, 10:00 ",46.9
"02 Jan 02, 11:00 ",46.8
"02 Jan 02, 12:00 ",46.8
"02 Jan 02, 13:00 ",46.7
"02 Jan 02, 14:00 ",46.6
"02 Jan 02, 15:00 ",46.6
"02 Jan 02, 16:00 ",46.6
"02 Jan 02, 17:00 ",46.6
"02 Jan 02, 18:00 ",46.6
"02 Jan 02, 19:00 ",46.6
"02 Jan 02, 20:00 ",46.6
"02 Jan 02, 21:00 ",46.7
"02 Jan 02, 22:00 ",46.7
"02 Jan 02, 23:00 ",46.7
"02 Jan 02, 24:00 ",46.7
"03 Jan 02, 01:00 ",46.7
"03 Jan 02, 02:00 ",46.7
"03 Jan 02, 03:00 ",46.7
"03 Jan 02, 04:00 ",46.7
"03 Jan 02, 05:00 ",46.7
"03 Jan 02, 06:00 ",46.7
"03 Jan 02, 07:00 ",46.6
"03 Jan 02, 08:00 ",46.6
"03 Jan 02, 09:00 ",46.6
"03 Jan 02, 10:00 ",46.7
"03 Jan 02, 11:00 ",46.8
"03 Jan 02, 12:00 ",47
"03 Jan 02, 13:00 ",47
"03 Jan 02, 14:00 ",47
"03 Jan 02, 15:00 ",46.9
"03 Jan 02, 16:00 ",46.9
"03 Jan 02, 17:00 ",46.9
"03 Jan 02, 18:00 ",46.8
"03 Jan 02, 19:00 ",46.6
"03 Jan 02, 20:00 ",46.5
"03 Jan 02, 21:00 ",46.3
"03 Jan 02, 22:00 ",46.2
"03 Jan 02, 23:00 ",46.1
"03 Jan 02, 24:00 ",45.9
"04 Jan 02, 01:00 ",45.8
"04 Jan 02, 02:00 ",45.6
"04 Jan 02, 03:00 ",45.5
"04 Jan 02, 04:00 ",45.4
"04 Jan 02, 05:00 ",45.3
"04 Jan 02, 06:00 ",45.3
"04 Jan 02, 07:00 ",45.2
"04 Jan 02, 08:00 ",45.2
"04 Jan 02, 09:00 ",45.3
"04 Jan 02, 10:00 ",45.4
"04 Jan 02, 11:00 ",45.6
"04 Jan 02, 12:00 ",45.8
"04 Jan 02, 13:00 ",45.9
"04 Jan 02, 14:00 ",46.1
"04 Jan 02, 15:00 ",46.2
"04 Jan 02, 16:00 ",46.3
"04 Jan 02, 17:00 ",46.4
"04 Jan 02, 18:00 ",46.4
"04 Jan 02, 19:00 ",46.3
"04 Jan 02, 20:00 ",46.2
"04 Jan 02, 21:00 ",46.1
"04 Jan 02, 22:00 ",46
"04 Jan 02, 23:00 ",45.9
"04 Jan 02, 24:00 ",45.9
"05 Jan 02, 01:00 ",45.8
"05 Jan 02, 02:00 ",45.7
"05 Jan 02, 03:00 ",45.7
"05 Jan 02, 04:00 ",45.7
"05 Jan 02, 05:00 ",45.6
"05 Jan 02, 06:00 ",45.6
"05 Jan 02, 07:00 ",45.6
"05 Jan 02, 08:00 ",45.6
"05 Jan 02, 09:00 ",45.7
"05 Jan 02, 10:00 ",45.7
"05 Jan 02, 11:00 ",45.8
"05 Jan 02, 12:00 ",45.9
"05 Jan 02, 13:00 ",46
"05 Jan 02, 14:00 ",46
"05 Jan 02, 15:00 ",46.1
"05 Jan 02, 16:00 ",46.2
"05 Jan 02, 17:00 ",46.3
"05 Jan 02, 18:00 ",46.3
"05 Jan 02, 19:00 ",46.4
"05 Jan 02, 20:00 ",46.4
"05 Jan 02, 21:00 ",46.4
"05 Jan 02, 22:00 ",46.3
"05 Jan 02, 23:00 ",46.3
"05 Jan 02, 24:00 ",46.2
"06 Jan 02, 01:00 ",46.1
"06 Jan 02, 02:00 ",46.1
"06 Jan 02, 03:00 ",46.1
"06 Jan 02, 04:00 ",46
"06 Jan 02, 05:00 ",46
