DATE,POOLTEMP_DEGF
"01 Jan 01, 24:00 ",46.3
"02 Jan 01, 01:00 ",46.17
"02 Jan 01, 02:00 ",46.05
"02 Jan 01, 03:00 ",45.93
"02 Jan 01, 04:00 ",45.83
"02 Jan 01, 05:00 ",45.73
"02 Jan 01, 06:00 ",45.62
"02 Jan 01, 07:00 ",45.52
"02 Jan 01, 08:00 ",45.42
"02 Jan 01, 09:00 ",45.39
"02 Jan 01, 10:00 ",45.49
"02 Jan 01, 11:00 ",45.73
"02 Jan 01, 12:00 ",46.07
"02 Jan 01, 13:00 ",46.46
"02 Jan 01, 14:00 ",46.84
"02 Jan 01, 15:00 ",47.13
"02 Jan 01, 16:00 ",47.29
"02 Jan 01, 17:00 ",47.28
"02 Jan 01, 18:00 ",47.2
"02 Jan 01, 19:00 ",47.11
"02 Jan 01, 20:00 ",47.01
"02 Jan 01, 21:00 ",46.9
"02 Jan 01, 22:00 ",46.79
"02 Jan 01, 23:00 ",46.68
"02 Jan 01, 24:00 ",46.56
"03 Jan 01, 01:00 ",46.44
"03 Jan 01, 02:00 ",46.32
"03 Jan 01, 03:00 ",46.21
"03 Jan 01, 04:00 ",46.09
"03 Jan 01, 05:00 ",45.96
"03 Jan 01, 06:00 ",45.84
"03 Jan 01, 07:00 ",45.72
"03 Jan 01, 08:00 ",45.61
"03 Jan 01, 09:00 ",45.57
"03 Jan 01, 10:00 ",45.68
"03 Jan 01, 11:00 ",45.95
"03 Jan 01, 12:00 ",46.32
"03 Jan 01, 13:00 ",46.71
"03 Jan 01, 14:00 ",47.08
"03 Jan 01, 15:00 ",47.36
"03 Jan 01, 16:00 ",47.52
"03 Jan 01, 17:00 ",47.53
"03 Jan 01, 18:00 ",47.45
"03 Jan 01, 19:00 ",47.36
"03 Jan 01, 20:00 ",47.26
"03 Jan 01, 21:00 ",47.16
"03 Jan 01, 22:00 ",47.05
"03 Jan 01, 23:00 ",46.93
"03 Jan 01, 24:00 ",46.81
"04 Jan 01, 01:00 ",46.7
"04 Jan 01, 02:00 ",46.58
"04 Jan 01, 03:00 ",46.46
"04 Jan 01, 04:00 ",46.33
"04 Jan 01, 05:00 ",46.2
"04 Jan 01, 06:00 ",46.07
"04 Jan 01, 07:00 ",45.94
"04 Jan 01, 08:00 ",45.82
"04 Jan 01, 09:00 ",45.78
"04 Jan 01, 10:00 ",45.86
"04 Jan 01, 11:00 ",46.03
"04 Jan 01, 12:00 ",46.28
"04 Jan 01, 13:00 ",46.61
"04 Jan 01, 14:00 ",46.93
"04 Jan 01, 15:00 ",47.2
"04 Jan 01, 16:00 ",47.35
"04 Jan 01, 17:00 ",47.35
"04 Jan 01, 18:00 ",47.26
"04 Jan 01, 19:00 ",47.16
"04 Jan 01, 20:00 ",47.05
