DATE,WINDSPEED_KNOTS
"01 Jan 01, 24:00 ",2.45
"02 Jan 01, 01:00 ",2.7
"02 Jan 01, 02:00 ",5.09
"02 Jan 01, 03:00 ",7.1
"02 Jan 01, 04:00 ",6.3
"02 Jan 01, 05:00 ",4.3
"02 Jan 01, 06:00 ",2.59
"02 Jan 01, 07:00 ",2.2
"02 Jan 01, 08:00 ",2.65
"02 Jan 01, 09:00 ",3.15
"02 Jan 01, 10:00 ",3.25
"02 Jan 01, 11:00 ",3.1
"02 Jan 01, 12:00 ",4
"02 Jan 01, 13:00 ",5.45
"02 Jan 01, 14:00 ",5.35
"02 Jan 01, 15:00 ",4.95
"02 Jan 01, 16:00 ",4.8
"02 Jan 01, 17:00 ",3.6
"02 Jan 01, 18:00 ",2.3
"02 Jan 01, 19:00 ",1.9
"02 Jan 01, 20:00 ",2.15
"02 Jan 01, 21:00 ",3.35
"02 Jan 01, 22:00 ",4.15
"02 Jan 01, 23:00 ",3.3
"02 Jan 01, 24:00 ",2.8
"03 Jan 01, 01:00 ",3.6
"03 Jan 01, 02:00 ",4.7
"03 Jan 01, 03:00 ",4.7
"03 Jan 01, 04:00 ",4.85
"03 Jan 01, 05:00 ",5.74
"03 Jan 01, 06:00 ",6.54
"03 Jan 01, 07:00 ",7.75
"03 Jan 01, 08:00 ",8.75
"03 Jan 01, 09:00 ",9.34
"03 Jan 01, 10:00 ",8.9
"03 Jan 01, 11:00 ",7.85
"03 Jan 01, 12:00 ",7.2
"03 Jan 01, 13:00 ",6.05
"03 Jan 01, 14:00 ",4.05
"03 Jan 01, 15:00 ",2.6
"03 Jan 01, 16:00 ",2.95
"03 Jan 01, 17:00 ",2.9
"03 Jan 01, 18:00 ",2.14
"03 Jan 01, 19:00 ",2.2
"03 Jan 01, 20:00 ",2.45
"03 Jan 01, 21:00 ",2.45
"03 Jan 01, 22:00 ",2.55
"03 Jan 01, 23:00 ",2.85
"03 Jan 01, 24:00 ",2.55
"04 Jan 01, 01:00 ",2.35
"04 Jan 01, 02:00 ",2
"04 Jan 01, 03:00 ",1.85
"04 Jan 01, 04:00 ",1.95
"04 Jan 01, 05:00 ",1.8
"04 Jan 01, 06:00 ",2.2
"04 Jan 01, 07:00 ",2.45
"04 Jan 01, 08:00 ",2.65
"04 Jan 01, 09:00 ",3.3
"04 Jan 01, 10:00 ",3.15
"04 Jan 01, 11:00 ",2.5
"04 Jan 01, 12:00 ",2.6
"04 Jan 01, 13:00 ",2
"04 Jan 01, 14:00 ",2.55
"04 Jan 01, 15:00 ",3.05
"04 Jan 01, 16:00 ",2.25
"04 Jan 01, 17:00 ",2.85
"04 Jan 01, 18:00 ",3.05
"04 Jan 01, 19:00 ",2.3
"04 Jan 01, 20:00 ",2.1
"04 Jan 01, 21:00 ",2.6
"04 Jan 01, 22:00 ",2.95
"04 Jan 01, 23:00 ",2.6
"04 Jan 01, 24:00 ",2.79
"05 Jan 01, 01:00 ",3.2
"05 Jan 01, 02:00 ",2.9
"05 Jan 01, 03:00 ",3.59
"05 Jan 01, 04:00 ",4.39
"05 Jan 01, 05:00 ",3.94
"05 Jan 01, 06:00 ",3.1
"05 Jan 01, 07:00 ",4.55
"05 Jan 01, 08:00 ",6.45
"05 Jan 01, 09:00 ",7.6
"05 Jan 01, 10:00 ",7.84
"05 Jan 01, 11:00 ",6.34
"05 Jan 01, 12:00 ",5.04
"05 Jan 01, 13:00 ",3.85
"05 Jan 01, 14:00 ",3.1
"05 Jan 01, 15:00 ",3.55
"05 Jan 01, 16:00 ",3.5
"05 Jan 01, 17:00 ",2.65
"05 Jan 01, 18:00 ",2
"05 Jan 01, 19:00 ",1.7
"05 Jan 01, 20:00 ",2.1
"05 Jan 01, 21:00 ",1.9
"05 Jan 01, 22:00 ",1.79
"05 Jan 01, 23:00 ",2.29
"05 Jan 01, 24:00 ",3.05
"06 Jan 01, 01:00 ",3.85
"06 Jan 01, 02:00 ",3.25
"06 Jan 01, 03:00 ",1.85
"06 Jan 01, 04:00 ",1.35
"06 Jan 01, 05:00 ",1.75
"06 Jan 01, 06:00 ",2.35
"06 Jan 01, 07:00 ",2.65
"06 Jan 01, 08:00 ",3.55
"06 Jan 01, 09:00 ",5.5
"06 Jan 01, 10:00 ",6.6
"06 Jan 01, 11:00 ",6.55
"06 Jan 01, 12:00 ",5.35
"06 Jan 01, 13:00 ",3.3
"06 Jan 01, 14:00 ",2.6
"06 Jan 01, 15:00 ",2.4
"06 Jan 01, 16:00 ",1.6
"06 Jan 01, 17:00 ",1.55
"06 Jan 01, 18:00 ",2.15
"06 Jan 01, 19:00 ",2.5
"06 Jan 01, 20:00 ",2.75
"06 Jan 01, 21:00 ",2.7
"06 Jan 01, 22:00 ",2.35
"06 Jan 01, 23:00 ",1.95
"06 Jan 01, 24:00 ",1.65
"07 Jan 01, 01:00 ",2.15
"07 Jan 01, 02:00 ",2.4
"07 Jan 01, 03:00 ",2.09
"07 Jan 01, 04:00 ",2.14
"07 Jan 01, 05:00 ",3
"07 Jan 01, 06:00 ",3.55
"07 Jan 01, 07:00 ",2.95
"07 Jan 01, 08:00 ",3.85
"07 Jan 01, 09:00 ",4.95
"07 Jan 01, 10:00 ",4.2
"07 Jan 01, 11:00 ",2.9
"07 Jan 01, 12:00 ",2.14
"07 Jan 01, 13:00 ",2.09
"07 Jan 01, 14:00 ",2.09
"07 Jan 01, 15:00 ",2
"07 Jan 01, 16:00 ",1.9
"07 Jan 01, 17:00 ",1.7
"07 Jan 01, 18:00 ",2.1
"07 Jan 01, 19:00 ",2.3
"07 Jan 01, 20:00 ",2.55
"07 Jan 01, 21:00 ",3.29
"07 Jan 01, 22:00 ",3.5
"07 Jan 01, 23:00 ",3.45
"07 Jan 01, 24:00 ",4.6
"08 Jan 01, 01:00 ",4.5
"08 Jan 01, 02:00 ",4.95
"08 Jan 01, 03:00 ",7.45
"08 Jan 01, 04:00 ",7.24
"08 Jan 01, 05:00 ",6.45
"08 Jan 01, 06:00 ",6.5
"08 Jan 01, 07:00 ",6.1
"08 Jan 01, 08:00 ",5.54
"08 Jan 01, 09:00 ",5.09
"08 Jan 01, 10:00 ",4.3
"08 Jan 01, 11:00 ",4.85
"08 Jan 01, 12:00 ",6
"08 Jan 01, 13:00 ",6.1
"08 Jan 01, 14:00 ",6
"08 Jan 01, 15:00 ",5.45
"08 Jan 01, 16:00 ",4.44
"08 Jan 01, 17:00 ",4.4
"08 Jan 01, 18:00 ",5.5
"08 Jan 01, 19:00 ",5.39
"08 Jan 01, 20:00 ",4.35
"08 Jan 01, 21:00 ",5.05
"08 Jan 01, 22:00 ",6.89
"08 Jan 01, 23:00 ",6.54
"08 Jan 01, 24:00 ",6.19
"09 Jan 01, 01:00 ",6.34
"09 Jan 01, 02:00 ",5.45
"09 Jan 01, 03:00 ",6.3
"09 Jan 01, 04:00 ",7
"09 Jan 01, 05:00 ",5.9
"09 Jan 01, 06:00 ",3.5
"09 Jan 01, 07:00 ",3.35
"09 Jan 01, 08:00 ",6.8
"09 Jan 01, 09:00 ",9.29
"09 Jan 01, 10:00 ",10.24
"09 Jan 01, 11:00 ",11.74
"09 Jan 01, 12:00 ",13.44
"09 Jan 01, 13:00 ",14.39
"09 Jan 01, 14:00 ",14.94
"09 Jan 01, 15:00 ",12.89
"09 Jan 01, 16:00 ",12.35
"09 Jan 01, 17:00 ",13.44
"09 Jan 01, 18:00 ",13.29
"09 Jan 01, 19:00 ",12.89
"09 Jan 01, 20:00 ",11.04
"09 Jan 01, 21:00 ",9.29
"09 Jan 01, 22:00 ",8.69
"09 Jan 01, 23:00 ",8.8
"09 Jan 01, 24:00 ",7.8
"10 Jan 01, 01:00 ",6.6
"10 Jan 01, 02:00 ",5.85
"10 Jan 01, 03:00 ",5
"10 Jan 01, 04:00 ",3.5
"10 Jan 01, 05:00 ",2.15
"10 Jan 01, 06:00 ",2.45
"10 Jan 01, 07:00 ",3.35
"10 Jan 01, 08:00 ",6.49
"10 Jan 01, 09:00 ",8.19
"10 Jan 01, 10:00 ",6.6
"10 Jan 01, 11:00 ",4.69
"10 Jan 01, 12:00 ",4.35
"10 Jan 01, 13:00 ",9.8
"10 Jan 01, 14:00 ",14.34
"10 Jan 01, 15:00 ",16.59
"10 Jan 01, 16:00 ",18.39
"10 Jan 01, 17:00 ",17.54
"10 Jan 01, 18:00 ",17.59
"10 Jan 01, 19:00 ",17.29
"10 Jan 01, 20:00 ",14.89
"10 Jan 01, 21:00 ",14.34
"10 Jan 01, 22:00 ",15.94
"10 Jan 01, 23:00 ",16.84
"10 Jan 01, 24:00 ",16.09
"11 Jan 01, 01:00 ",14.14
"11 Jan 01, 02:00 ",13.09
"11 Jan 01, 03:00 ",13.09
"11 Jan 01, 04:00 ",13.44
"11 Jan 01, 05:00 ",13.34
